,基金代码,基金简称
0,006401,先锋量化优选混合A
1,000011,华夏大盘精选混合A
2,070002,嘉实增长混合
3,162202,泰达宏利周期混合
4,100020,富国天益价值混合A
5,163402,兴全趋势投资混合(LOF)
6,151001,银河稳健混合
7,260104,景顺长城内需增长混合
8,100022,富国天瑞强势混合
9,162605,景顺长城鼎益混合(LOF)
10,020001,国泰金鹰增长混合
11,162201,泰达宏利成长混合
12,519008,汇添富优势精选混合
13,260101,景顺长城优选混合
14,161005,富国天惠成长混合A/B(LOF)
15,002001,华夏回报混合A
16,288002,华夏收入混合
17,160505,博时主题行业混合(LOF)
18,040004,华安宝利配置混合
19,240001,华宝宝康消费品
20,160603,鹏华普天收益混合
21,162703,广发小盘成长混合(LOF)A
22,162204,泰达宏利行业混合A
23,110001,易方达平稳增长混合
24,240004,华宝动力组合混合A
25,080001,长盛成长价值混合A
26,070001,嘉实成长收益混合A
27,519688,交银精选混合
28,090001,大成价值增长混合
29,150103,银河银泰混合
30,110005,易方达积极成长混合
31,270002,广发稳健增长混合A
32,160106,南方高增长混合(LOF)
33,020003,国泰金龙行业混合
34,519087,新华优选分红混合
35,213001,宝盈鸿利收益灵活配置混合A
36,163302,大摩资源优选混合(LOF)
37,340001,兴全可转债混合
38,481001,工银核心价值混合A
39,162203,泰达宏利稳定混合
40,460001,华泰柏瑞盛世中国混合
41,240002,华宝宝康配置混合
42,163801,中银中国混合(LOF)A
43,002011,华夏红利混合
44,160605,鹏华中国50混合
45,375010,上投摩根中国优势混合A
46,320003,诺安先锋混合A
47,257020,国联安精选混合
48,100026,富国天合稳健优选混合
49,090004,大成精选增值混合
50,450002,国富弹性市值混合
51,288001,华夏经典混合
52,340006,兴全全球视野股票
53,270001,广发聚富混合
54,180012,银华富裕主题混合
55,163804,中银收益混合A
56,161706,招商优质成长混合(LOF)
57,040035,华安逆向策略混合A
58,040005,华安宏利混合A
59,100016,富国天源沪港深平衡混合A
60,217001,招商安泰混合
61,530001,建信恒久价值混合
62,519997,长信银利精选混合A
63,519001,银华价值优选混合
64,398001,中海优质成长混合
65,121002,国投瑞银景气行业混合
66,260109,景顺长城内需贰号混合
67,519011,海富通精选混合
68,162607,景顺长城资源垄断混合
69,070006,嘉实服务增值行业混合
70,110013,易方达科翔混合
71,166301,华商新趋势优选灵活配置混合
72,110002,易方达策略成长混合
73,255010,国联安稳健混合
74,550002,中信保诚精萃成长混合A
75,510081,长盛动态精选混合
76,519704,交银先进制造混合A
77,202001,南方稳健成长混合
78,310308,申万菱信盛利精选混合
79,519003,海富通收益增长混合
80,240008,华宝收益增长混合A
81,163803,中银持续增长混合A
82,260103,景顺长城动力平衡混合
83,519692,交银成长混合A
84,002021,华夏回报二号混合
85,360006,光大新增长混合
86,160607,鹏华价值优势混合(LOF)
87,006011,中信保诚稳鸿A
88,660015,农银行业轮动混合A
89,519668,银河成长混合
90,090018,大成新锐产业混合
91,460005,华泰柏瑞价值增长混合A
92,180031,银华中小盘混合
93,110011,易方达优质精选混合(QDII)
94,400003,东方精选混合
95,110009,易方达价值精选混合
96,519679,银河主题混合
97,450001,国富中国收益混合
98,162102,金鹰中小盘精选混合
99,161606,融通行业景气混合A
100,160105,南方积极配置混合(LOF)
101,161903,万家行业优选混合(LOF)
102,519690,交银稳健配置混合
103,020005,国泰金马稳健混合A
104,180001,银华优势企业混合
105,519697,交银优势行业混合
106,257010,国联安小盘精选混合
107,165516,信诚周期轮动混合(LOF)A
108,630002,华商盛世成长混合
109,377010,上投摩根阿尔法混合A
110,310328,申万菱信新动力混合
111,270005,广发聚丰混合A
112,002031,华夏策略混合
113,217002,招商安泰平衡混合
114,270006,广发策略优选混合
115,202101,南方宝元债券A
116,180003,银华-道琼斯88指数
117,530006,建信核心精选混合
118,240005,华宝多策略增长A
119,519702,交银趋势混合A
120,040015,华安动态灵活配置混合A
121,519089,新华优选成长混合
122,180010,银华优质增长混合
123,000001,华夏成长混合
124,163412,兴全轻资产混合(LOF)
125,270028,广发制造业精选混合A
126,166002,中欧新蓝筹混合A
127,530003,建信优选成长混合A
128,519069,汇添富价值精选混合A
129,540002,汇丰晋信龙腾混合
130,206001,鹏华弘泰A
131,360005,光大红利混合
132,090007,大成策略回报混合
133,020009,国泰金鹏蓝筹混合
134,260108,景顺长城新兴成长混合
135,720001,财通价值动量混合
136,202003,南方绩优成长混合A
137,162205,泰达宏利风险预算混合
138,163807,中银优选灵活配置混合A
139,700003,平安策略先锋混合
140,519091,新华泛资源优势混合
141,151002,银河收益混合
