,日期,每股收益,调整每股净资产,每股现金流,每股公积金,每股未分配利润,总资产,扣非净利润,主营利润率,总资产净利率,销售净利率,净资产报酬率,资产报酬率,净资产收益率,加权净资产收益率,成本费用利润率,主营业务成本率,应收账款周转率,存货周转率,固定资产周转率,总资产周转率,流动资产周转率,流动比率,速动比率,现金比率,产权比率,资产负债率,现金流销售比,现金流净利润比,现金流负债比,主营收入增长率,净利润增长率,净资产增长率,总资产增长率
0,2022-06-30,0.0312,2.2701,0.0452,0.5071,0.6265,2412028110.17,739695.95,20.8815,0.8561,6.5576,43.3435,28.1434,0.83,0.83,7.3317,78.2527,2.5157,0.5427,0.2993,0.1306,0.3935,1.6687,0.7085,26.2493,41.8284,35.069,0.0949,1.4478,0.0349,29.6025,-29.7749,0.8774,1.3113
1,2022-03-31,0.0232,2.2642,0.0037,0.5071,0.6211,2391712880.27,1037678.8,24.3027,0.6386,10.0441,0.97,0.6329,0.59,0.59,12.0356,74.9568,1.1705,0.2522,--,0.0636,0.1872,1.8265,0.8145,27.4813,40.9831,34.7567,0.0162,0.161,0.0029,37.9054,-26.8193,0.1954,-0.4955
2,2021-12-31,0.0347,2.2509,0.1723,0.5071,0.6077,2348876914.48,-26030745.5,18.6053,0.992,4.0713,41.2633,27.1451,0.95,0.95,5.3521,80.4154,4.9978,1.2021,0.5248,0.2437,0.7757,1.6127,0.7109,22.6505,40.2608,34.2149,0.2022,4.9662,0.14,-16.9479,-2.9147,0.582,5.8625
3,2021-09-30,0.0386,2.2546,0.016,0.5071,0.6098,2414978428.81,-11657602.65,17.1911,1.0889,6.6553,1.6289,1.0446,1.04,1.05,2.2392,81.8199,3.3659,0.797,--,0.1636,0.5074,1.6778,0.7383,25.4557,43.4836,35.8683,0.0275,0.4139,0.0121,-23.9593,189.5805,3.8586,8.6568
4,2021-06-30,0.0444,2.2604,0.1376,0.5071,0.6155,2380807814.17,-4215771.29,17.1478,1.2618,12.1022,38.7094,25.2425,1.29,1.3,4.6226,81.7359,2.023,0.5966,0.2249,0.1043,0.3305,1.723,0.9677,41.661,40.9154,34.7897,0.3747,3.0959,0.1085,-32.746,395.1079,4.342,10.2448
5,2021-03-31,0.0317,2.2521,0.116,0.5045,0.6101,2403622369.67,-3276023.94,17.0085,0.8949,18.9276,1.3281,0.8605,1.06,1.06,17.5571,81.7021,0.976,0.2741,--,0.0473,0.1456,1.3754,0.8169,35.0525,43.4532,35.2066,0.6933,3.6631,0.0895,-32.377,996.0677,4.9585,7.6634
6,2020-12-31,0.0357,2.2279,0.191,0.5045,0.5863,2218799682.21,-770000.05,16.8332,1.0981,3.4828,35.9844,24.9152,1.56,1.57,3.342,82.2119,7.4042,1.6144,0.6761,0.3153,1.0461,1.2015,0.6362,25.6245,39.222,30.7612,0.1862,5.3467,0.1828,60.118,--,3.7131,9.2287
7,2020-09-30,0.0133,2.2051,0.147,0.5029,0.5655,2222574787.77,2761609.32,14.1009,0.4096,1.7476,0.5842,0.392,0.63,0.63,1.8505,84.9722,5.406,1.1524,--,0.2344,0.7261,1.3887,0.7179,19.4397,42.4464,32.9055,0.1926,11.0231,0.1313,49.7366,--,-2.4949,4.6192
8,2020-06-30,0.009,2.2,0.1002,0.5029,0.5609,2159563957.13,2977621.04,12.61,0.2797,1.6439,33.5836,23.1389,0.42,0.42,1.6519,86.5202,3.855,0.7989,0.4037,0.1702,0.5234,1.5957,0.7329,16.8758,37.4163,31.1006,0.1836,11.1695,0.0975,55.2593,--,-2.6026,1.1223
9,2020-03-31,0.0029,2.1926,-0.0507,0.5029,0.5536,2232535273.29,108978.41,11.1757,0.0885,1.1678,0.1272,0.0845,0.09,0.09,1.1097,87.9464,1.547,0.3623,--,0.0758,0.2223,1.4709,0.7417,21.1064,42.4403,33.5368,-0.2051,-17.5605,-0.0443,56.8708,116.135,-3.4773,8.2581
10,2019-12-31,-0.0874,2.1899,-0.1593,0.5029,0.5517,2031333158.27,-60986345.87,14.6775,-2.8949,-13.6372,27.1008,19.7622,-4.14,-4.06,-13.405,83.9991,4.7483,1.1533,0.4607,0.2123,0.7498,1.5309,0.6165,25.1349,30.3632,27.079,-0.2487,--,-0.1892,-10.0158,-849.8204,-3.8148,6.2818
11,2019-09-30,-0.0116,2.2624,-0.1349,0.5029,0.6258,2124442159.1,-16856305.04,15.5196,-0.3739,-2.2662,-0.4933,-0.3551,-0.73,-0.72,-2.4883,83.3075,3.2665,0.8763,--,0.165,0.5521,1.5303,0.6805,25.5382,33.2554,28.0102,-0.2647,--,-0.1481,4.1787,-182.7726,-0.8026,8.2436
12,2019-06-30,-0.0139,2.266,-0.136,0.5029,0.6296,2135596442.89,-12681198.96,12.358,-0.4481,-3.9479,27.9206,19.9728,-0.56,-0.55,-3.5971,86.5032,2.4071,0.6251,0.2503,0.1135,0.3798,1.5111,0.6706,30.619,33.8285,28.4656,-0.3868,--,-0.1461,14.7067,-224.3716,-0.7843,11.4484
13,2019-03-31,0.0013,2.2795,-0.1912,0.5029,0.6436,2062233857.39,-3174399.78,14.3386,0.0439,0.8476,0.0568,0.0423,0.06,0.06,1.5274,84.413,1.0686,0.3016,--,0.0519,0.1824,1.4963,0.6978,30.6448,27.9189,25.4561,-1.2123,-143.0365,-0.2379,2.1426,-61.3972,0.1704,8.7308
14,2018-12-31,0.0117,2.2839,0.0717,0.5029,0.6481,1911270181.21,-1649018.19,19.4288,0.3922,1.6366,26.6192,21.4486,0.58,0.58,1.4332,79.0954,6.1208,1.6668,0.505,0.2397,0.9036,1.4757,0.7673,29.1416,21.447,19.4244,0.1007,6.1557,0.1262,0.164,18.3111,0.4864,-2.9512
15,2018-09-30,0.014,2.285,0.0116,0.5029,0.6489,1962649155.29,-357517.42,20.8585,0.4636,2.8522,0.5912,0.4644,0.61,0.61,3.3599,77.6265,3.3899,1.1338,--,0.1625,0.5868,1.4128,0.8185,30.8811,25.1225,21.4451,0.0236,0.8288,0.0179,15.5236,712.0353,0.9877,1.8001
16,2018-06-30,0.0112,2.2826,-0.0391,0.5029,0.6466,1916220135.71,1433565.79,23.1111,0.3752,3.6411,24.5702,19.7432,0.51,0.51,4.1092,75.1739,2.5112,0.678,0.2198,0.103,0.3832,1.4592,0.7731,16.7289,22.3909,19.6458,-0.1276,-3.5046,-0.0679,15.827,1005.311,0.8726,-3.5537
17,2018-03-31,0.0035,2.2735,-0.06,0.5029,0.6375,1896641039.66,793301.49,25.1503,0.117,2.2426,0.1474,0.1193,0.11,0.11,2.4665,73.0499,1.3842,0.3426,--,0.0522,0.1978,1.6385,0.8746,16.1518,21.607,19.0857,-0.3888,-17.3385,-0.1083,26.2222,1270.3576,0.6023,-7.1764
18,2017-12-31,0.0098,2.2713,0.1635,0.5029,0.6349,1969391321.92,-13213866.6,16.5087,0.332,1.3855,22.5191,17.5242,0.57,0.57,3.3733,81.9643,6.842,1.8764,0.4915,0.2396,0.9357,1.4796,0.9134,45.6018,26.5092,22.1809,0.23,16.603,0.2445,55.6259,--,-1.0069,3.3365
19,2017-09-30,0.0017,2.2639,0.1342,0.5029,0.6281,1927943841.84,-13999377.13,16.1906,0.0586,0.4058,0.0735,0.0582,0.27,0.27,1.7361,81.941,3.4971,1.1507,--,0.1443,0.5926,1.4681,0.8732,30.2895,24.1734,20.8132,0.3168,78.0623,0.2184,7.7165,--,-4.3386,-6.4842
20,2017-06-30,0.001,2.262,0.0866,0.5029,0.626,1986825424.25,-5126940.55,19.0906,0.0339,0.3816,20.0832,15.4296,0.18,0.18,2.6588,79.0231,1.9876,0.7378,0.1826,0.0888,0.3496,1.3865,0.9433,43.4097,28.0522,23.1717,0.3272,85.7639,0.1229,-21.8298,--,-5.7034,-4.5288
21,2017-03-31,0.0003,2.2595,0.0574,0.5029,0.6242,2043274215.96,-1226449.95,20.708,0.0084,0.2066,0.0108,0.0081,0.1,0.1,2.5737,77.1517,0.9604,0.3171,--,0.0405,0.1537,1.2131,0.8206,42.9484,31.8264,25.3421,0.4695,227.309,0.0725,-51.487,--,-8.4133,-1.0514
22,2016-12-31,-0.1639,2.2561,0.2906,0.5022,0.622,1905804061.92,-114107423.14,5.7614,-5.1626,-35.8795,10.8975,8.8524,-7,-6.73,-29.3062,92.7492,2.8841,1.08,0.3016,0.1439,0.4909,1.3831,0.7745,20.9627,21.0393,18.7665,0.6362,--,0.5307,-25.8263,-269.8529,-7.5628,-14.9545
23,2016-09-30,-0.0902,2.3252,0.2633,0.5022,0.6916,2061623414.89,-68530898.9,9.4329,-2.7376,-22.9325,-3.6902,-2.8566,-3.8,-3.71,-20.5859,90.122,2.2076,0.8779,--,0.1194,0.3777,1.3784,0.8845,33.7342,27.0428,22.5892,0.6697,--,0.3693,-22.5857,-183.7336,-5.0942,-4.9323
24,2016-06-30,-0.0559,2.3585,0.2669,0.5022,0.7241,2081072966.52,-39362289.37,10.1974,-1.6881,-16.498,13.2704,10.3224,-2.37,-2.32,-15.2444,89.4028,1.8403,0.7549,0.2204,0.1023,0.3235,1.4015,0.9138,35.8173,26.5418,22.2147,0.7884,--,0.3771,-14.9272,-164.0768,-2.6507,-3.6488
25,2016-03-31,-0.0148,2.4278,0.1981,0.5022,0.7941,2064984530,-11051577.31,11.0845,-0.448,-5.8564,-0.5791,-0.4671,-0.65,-0.65,-5.5296,88.4862,1.2597,0.5427,--,0.0765,0.2418,1.6236,1.0178,24.9054,22.0951,19.3409,0.7857,--,0.324,12.3231,-133.0813,0.6734,-3.5253
26,2015-12-31,0.0965,2.4432,-0.0047,0.5022,0.81,2240922713.6,3692444.93,31.6423,2.9453,15.6683,16.9306,12.6535,3.83,3.89,18.8266,67.7115,3.2575,0.9832,0.452,0.188,0.5801,1.4318,0.8438,27.4309,31.9028,25.2624,-0.0076,-0.0487,-0.0054,-27.6489,-49.6992,3.0397,9.9394
27,2015-09-30,0.1077,2.4543,0.0456,0.5022,0.8284,2168583470.47,16785037.03,34.1321,3.3437,21.2018,4.1826,3.2433,4.3,4.41,25.5962,65.1566,2.4698,0.7824,--,0.1577,0.4928,1.5807,0.8989,23.8355,27.2694,22.4571,0.0899,0.4239,0.0612,-23.939,-33.1629,6.2464,5.8156
28,2015-06-30,0.0872,2.4269,0.0457,0.4956,0.8089,2159882830.88,38875287.56,38.4065,2.7121,21.9038,16.1805,12.457,3.54,3.56,32.4109,60.708,1.7685,0.5644,0.3441,0.1238,0.3987,1.4452,0.7686,24.4637,28.3811,23.0122,0.1149,0.5247,0.0601,-15.9953,-17.5647,7.6679,8.1033
29,2015-03-31,0.0446,2.4146,0.0302,0.4956,0.7969,2140441828.93,21964319.55,37.4858,1.3955,19.8845,1.7623,1.3622,1.82,1.84,30.0602,61.4399,1.0265,0.3559,--,0.0702,0.2221,1.5154,0.9378,42.7018,27.8795,22.7049,0.1346,0.6767,0.0406,24.9619,-6.0899,2.4891,6.1711
30,2014-12-31,0.1918,2.3709,0.1231,0.4956,0.753,2038326157.36,100564461.91,39.3202,6.1968,22.5368,19.2184,15.3251,8.09,8.27,34.7886,59.9809,5.349,1.6544,0.7832,0.275,0.7973,1.6084,0.9878,46.0341,23.7756,20.2578,0.1447,0.642,0.1948,-32.541,0.8232,2.7437,1.6529
31,2014-09-30,0.1611,2.3447,0.2047,0.4954,0.7431,2049397803.65,83060173.28,37.85,5.1907,24.1278,6.6488,5.1347,6.9,6.99,37.6299,61.506,4.8848,1.4804,--,0.2151,0.6021,1.5247,1.0755,66.2483,28.0097,22.7715,0.3065,1.2705,0.2865,-35.9133,4.2999,1.5599,6.8404
32,2014-06-30,0.1057,2.2875,0.1512,0.4954,0.6888,1997981272.14,58411669.22,36.3238,3.4503,22.3209,15.743,12.1692,4.69,4.67,35.522,63.0512,2.9815,1.1791,0.4809,0.1546,0.4254,1.5818,1.1928,67.7501,27.8994,22.7009,0.3192,1.4301,0.2178,-39.8833,3.3953,5.4601,9.1381
33,2014-03-31,0.0475,2.3145,-0.0174,0.52,0.6907,2016031049.35,30282015.87,46.1688,1.5442,26.4593,1.9233,1.54,2.13,2.15,44.3871,52.9099,1.0179,0.3332,--,0.0584,0.1548,1.9585,1.4066,78.8328,23.4944,19.928,-0.0968,-0.3657,-0.0283,-55.7717,-10.9206,10.2871,7.6092
34,2013-12-31,0.1903,2.2635,0.4274,0.52,0.6414,2005182397.21,103870360.68,25.2833,6.6243,15.079,17.6806,13.9492,8.33,8.61,21.8903,74.1838,11.2193,2.6722,1.8929,0.4393,0.893,1.9304,1.5227,96.6717,25.3084,21.1044,0.3387,2.2464,0.6596,115.8712,28.3005,10.7185,14.8094
35,2013-09-30,0.1545,2.2278,0.3317,0.5197,0.6246,1918185451.58,90321356.73,23.2392,5.5062,14.8252,6.4741,5.2598,6.89,7.04,20.9032,76.27,7.1678,2.2224,--,0.3714,0.679,2.6455,2.1548,126.1898,22.6049,18.7561,0.3184,2.1474,0.6022,184.4712,44.2994,9.7129,15.826
36,2013-06-30,0.1023,2.1768,0.2669,0.5197,0.5741,1830690964.3,59759243.51,19.9527,3.7343,12.9779,13.5214,10.8164,4.72,4.75,17.6358,79.6367,6.373,1.8134,2.2718,0.2877,0.4866,2.9058,2.466,154.5852,24.4958,20.0051,0.3387,2.6097,0.476,345.1279,53.3439,6.0828,24.334
