时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-08-12,五",48.01,48.01,48.01,48.01,24.38%,0.00%,"83,900","4,028,039",0.015,189
"2022-08-12,五",48,48.57,48,48.57,1.17%,1.19%,"349,671","16,834,769",0.064,1092
"2022-08-12,五",48.56,48.79,48.56,48.66,0.19%,0.47%,"204,800","9,972,288",0.038,754
"2022-08-12,五",48.64,48.64,48.2,48.24,-0.86%,0.90%,"172,300","8,336,427",0.032,554
"2022-08-12,五",48.21,48.47,48.21,48.24,0.00%,0.54%,"221,600","10,708,464",0.041,684
"2022-08-12,五",48.23,48.23,47.8,47.95,-0.60%,0.89%,"415,900","19,924,703",0.076,1137
"2022-08-12,五",47.92,47.95,47.84,47.88,-0.15%,0.23%,"200,700","9,610,590",0.037,577
"2022-08-12,五",47.88,48.33,47.86,48.33,0.94%,0.98%,"147,224","7,067,416",0.027,525
"2022-08-12,五",48.34,48.64,48.11,48.64,0.64%,1.10%,"236,600","11,446,361",0.043,493
"2022-08-12,五",48.64,48.99,48.64,48.99,0.72%,0.72%,"134,700","6,577,576",0.025,409
"2022-08-12,五",48.98,48.99,48.5,48.5,-1.00%,1.00%,"243,000","11,877,286",0.045,632
"2022-08-12,五",48.49,48.49,48,48.1,-0.82%,1.01%,"271,700","13,072,020",0.05,578
"2022-08-12,五",48.08,48.08,47.91,47.95,-0.31%,0.35%,"334,700","16,058,881",0.061,969
"2022-08-12,五",47.89,47.91,47.67,47.67,-0.58%,0.50%,"409,400","19,573,480",0.075,1320
"2022-08-12,五",47.63,47.88,47.6,47.88,0.44%,0.59%,"190,600","9,093,350",0.035,660
"2022-08-12,五",47.85,47.99,47.79,47.79,-0.19%,0.42%,"249,400","11,945,820",0.046,617
"2022-08-12,五",47.8,47.84,47.74,47.8,0.02%,0.21%,"130,000","6,213,700",0.024,358
"2022-08-12,五",47.8,48,47.8,47.99,0.40%,0.42%,"78,300","3,747,790",0.014,254
"2022-08-12,五",48,48.02,47.85,47.85,-0.29%,0.35%,"161,200","7,728,050",0.03,404
"2022-08-12,五",47.85,48.02,47.85,48.02,0.36%,0.36%,"74,600","3,575,670",0.014,220
"2022-08-12,五",48.01,48.04,47.98,48,-0.04%,0.12%,"96,000","4,608,540",0.018,285
"2022-08-12,五",47.97,47.98,47.8,47.8,-0.42%,0.38%,"96,400","4,616,690",0.018,294
"2022-08-12,五",47.81,47.81,47.7,47.76,-0.08%,0.23%,"139,300","6,651,510",0.026,503
"2022-08-12,五",47.76,48.02,47.73,48,0.50%,0.61%,"120,200","5,748,640",0.022,391
"2022-08-12,五",48.04,48.07,47.9,47.91,-0.19%,0.35%,"59,800","2,870,710",0.011,241
"2022-08-12,五",47.91,47.91,47.88,47.88,-0.06%,0.06%,"65,100","3,118,650",0.012,221
"2022-08-12,五",47.9,48,47.87,47.97,0.19%,0.27%,"52,700","2,524,060",0.01,146
"2022-08-12,五",47.97,48.2,47.97,48.18,0.44%,0.48%,"49,200","2,367,910",0.009,230
"2022-08-12,五",48.19,48.19,48.04,48.06,-0.25%,0.31%,"56,600","2,724,630",0.01,182
"2022-08-12,五",48.06,48.08,47.98,47.99,-0.15%,0.21%,"37,800","1,814,620",0.007,169
"2022-08-12,五",47.98,47.98,47.88,47.88,-0.23%,0.21%,"38,100","1,825,400",0.007,158
"2022-08-12,五",47.9,47.93,47.77,47.78,-0.21%,0.33%,"142,600","6,825,800",0.026,344
"2022-08-12,五",47.77,47.78,47.76,47.76,-0.04%,0.04%,"79,500","3,797,530",0.015,262
"2022-08-12,五",47.77,47.77,47.74,47.77,0.02%,0.06%,"169,200","8,080,260",0.031,295
"2022-08-12,五",47.79,47.91,47.77,47.9,0.27%,0.29%,"48,600","2,326,370",0.009,196
"2022-08-12,五",47.89,47.89,47.79,47.8,-0.21%,0.21%,"49,000","2,344,210",0.009,166
"2022-08-12,五",47.8,47.85,47.8,47.84,0.08%,0.10%,"60,600","2,897,750",0.011,149
"2022-08-12,五",47.84,47.85,47.82,47.85,0.02%,0.06%,"52,100","2,492,360",0.01,182
"2022-08-12,五",47.87,47.95,47.87,47.95,0.21%,0.17%,"52,500","2,514,050",0.01,145
"2022-08-12,五",47.95,47.99,47.82,47.82,-0.27%,0.35%,"87,900","4,210,580",0.016,218
"2022-08-12,五",47.82,47.89,47.81,47.86,0.08%,0.17%,"80,400","3,847,280",0.015,176
"2022-08-12,五",47.85,47.85,47.81,47.81,-0.10%,0.08%,"79,100","3,782,820",0.014,219
"2022-08-12,五",47.8,47.81,47.79,47.8,-0.02%,0.04%,"86,000","4,110,790",0.016,221
"2022-08-12,五",47.8,47.86,47.8,47.86,0.13%,0.13%,"44,900","2,147,620",0.008,119
"2022-08-12,五",47.89,47.94,47.89,47.93,0.15%,0.10%,"57,900","2,774,690",0.011,126
"2022-08-12,五",47.94,48.09,47.93,48.09,0.33%,0.33%,"38,700","1,857,800",0.007,116
"2022-08-12,五",48.09,48.18,48.06,48.14,0.10%,0.25%,"64,800","3,119,590",0.012,202
"2022-08-12,五",48.05,48.05,47.9,47.9,-0.50%,0.31%,"106,800","5,127,860",0.02,198
"2022-08-12,五",47.9,47.9,47.81,47.82,-0.17%,0.19%,"38,100","1,822,840",0.007,126
"2022-08-12,五",47.81,47.82,47.78,47.78,-0.08%,0.08%,"93,500","4,469,420",0.017,294
"2022-08-12,五",47.8,47.8,47.66,47.66,-0.25%,0.29%,"184,500","8,802,920",0.034,547
"2022-08-12,五",47.66,47.66,47.44,47.45,-0.44%,0.46%,"430,500","20,465,480",0.079,1323
"2022-08-12,五",47.42,47.42,47.3,47.34,-0.23%,0.25%,"235,200","11,132,870",0.043,693
"2022-08-12,五",47.34,47.63,47.34,47.63,0.61%,0.61%,"106,200","5,040,000",0.019,329
"2022-08-12,五",47.63,47.63,47.4,47.4,-0.48%,0.48%,"130,400","6,195,200",0.024,338
"2022-08-12,五",47.4,47.43,47.38,47.43,0.06%,0.11%,"75,600","3,583,490",0.014,246
"2022-08-12,五",47.43,47.43,47.37,47.37,-0.13%,0.13%,"90,300","4,280,170",0.017,262
"2022-08-12,五",47.37,47.63,47.35,47.63,0.55%,0.59%,"96,100","4,557,750",0.018,223
"2022-08-12,五",47.65,47.66,47.55,47.55,-0.17%,0.23%,"51,700","2,461,360",0.009,195
"2022-08-12,五",47.55,47.55,47.5,47.5,-0.11%,0.11%,"34,300","1,629,870",0.006,134
"2022-08-12,五",47.52,47.52,47.5,47.52,0.04%,0.04%,"49,700","2,361,260",0.009,164
"2022-08-12,五",47.5,47.51,47.47,47.47,-0.11%,0.08%,"34,300","1,629,040",0.006,142
"2022-08-12,五",47.48,47.65,47.47,47.62,0.32%,0.38%,"64,800","3,080,960",0.012,204
"2022-08-12,五",47.62,47.71,47.62,47.71,0.19%,0.19%,"24,900","1,186,920",0.005,93
"2022-08-12,五",47.76,47.82,47.75,47.81,0.21%,0.15%,"40,400","1,931,240",0.007,162
"2022-08-12,五",47.8,47.88,47.8,47.88,0.15%,0.17%,"24,000","1,148,370",0.004,85
"2022-08-12,五",47.88,47.88,47.77,47.81,-0.15%,0.23%,"49,300","2,358,310",0.009,158
"2022-08-12,五",47.8,47.8,47.69,47.69,-0.25%,0.23%,"22,000","1,050,430",0.004,103
"2022-08-12,五",47.68,47.69,47.67,47.67,-0.04%,0.04%,"24,600","1,172,850",0.005,95
"2022-08-12,五",47.66,47.67,47.66,47.66,-0.02%,0.02%,"37,100","1,768,290",0.007,96
"2022-08-12,五",47.66,47.69,47.66,47.68,0.04%,0.06%,"30,500","1,454,150",0.006,79
"2022-08-12,五",47.69,47.7,47.69,47.69,0.02%,0.02%,"26,900","1,282,830",0.005,93
"2022-08-12,五",47.68,47.69,47.67,47.68,-0.02%,0.04%,"19,800","944,050",0.004,71
"2022-08-12,五",47.67,47.67,47.65,47.65,-0.06%,0.04%,"21,100","1,005,590",0.004,77
"2022-08-12,五",47.65,47.68,47.65,47.67,0.04%,0.06%,"24,800","1,182,110",0.005,78
"2022-08-12,五",47.68,47.8,47.68,47.8,0.27%,0.25%,"27,117","1,294,620",0.005,76
"2022-08-12,五",47.8,47.85,47.76,47.85,0.10%,0.19%,"26,000","1,242,790",0.005,91
"2022-08-12,五",47.8,47.9,47.8,47.89,0.08%,0.21%,"51,800","2,478,760",0.009,151
"2022-08-12,五",47.89,47.89,47.82,47.85,-0.08%,0.15%,"41,100","1,967,760",0.008,184
"2022-08-12,五",47.86,47.86,47.81,47.82,-0.06%,0.10%,"32,500","1,554,690",0.006,87
"2022-08-12,五",47.82,47.83,47.81,47.82,0.00%,0.04%,"25,200","1,205,080",0.005,88
"2022-08-12,五",47.82,47.98,47.82,47.98,0.33%,0.33%,"80,300","3,844,530",0.015,129
"2022-08-12,五",47.98,47.98,47.9,47.94,-0.08%,0.17%,"29,000","1,390,050",0.005,131
"2022-08-12,五",47.95,48.01,47.95,48.01,0.15%,0.13%,"68,500","3,286,920",0.013,170
"2022-08-12,五",48.01,48.12,48,48.12,0.23%,0.25%,"43,500","2,090,560",0.008,143
